id,poi_name,pcdr,t_tag,intro
poi_000012,中州国际饭店,河南省;洛阳市;瀍河回族区;启明南路,酒店|高档型|酒店|商务酒店,"酒店是一家集客房、餐饮为一体的豪华饭店,饭店主楼外观简约大气,内部设施豪华典雅,可容纳220余人同时入住,分为总统套房、行政套房、豪华标间、豪华大床、商务标间、商务大床。酒店室内温馨舒适,设备先进,风格独特。餐厅面积4000余平方,可一次性容纳1600人同时就餐,餐厅设3个大型宴会厅及大、小包间24间,荟萃各类菜系精华与佳肴。是您外出旅行和商务宴请、聚会、品尝美食的上佳选择。"
poi_000013,十堰百合假日酒店,湖北省;十堰市;茅箭区;山西路,酒店|经济型|酒店|度假酒店,"酒店位于十堰茅箭区山西路,近宜昌路,与十堰人民医院毗邻,周边生活设施完善,30路公交起点,附近早餐小吃烧烤超市齐全,酒店距离十堰市中心五堰仅10分钟步行交通便利。 酒店设有各类温馨客房,房间典雅舒适,布置温暖,房内设施设备齐全。酒店还配有中餐厅、棋牌室、会议厅等服务设施,让您在旅途中感受到“家”的温馨和舒适。"
poi_000014,云水谣田园拾味·雅宿,福建省;漳州市;南靖县;607县道,酒店,"田园拾味·雅宿位于云水谣古镇的中心地带,它不仅是一家提供住宿服务的酒店,也是一个备受赞誉的餐厅。坐落在繁华的云水谣古镇中心,方便客人前往古镇内的各个景点。采用简约大气的设计风格,营造出舒适宁静的氛围。田园拾味·雅宿结合了住宿与美食于一体,适合那些既希望享受当地文化氛围又想品尝地道风味的旅行者。如果您计划访问云水谣古镇,并且想要一个能够同时满足休息和饮食需求的地方,那么田园拾味·雅宿可以是一个不错的选择。"
poi_000015,长兴茗杏阁民宿,浙江省;湖州市;长兴县;小柏路,酒店|民宿,"长兴茗杏阁民宿位于长兴县小浦镇八都岕方一村十里银杏长廊附近,地理位置优越,靠近古银杏公园,出游便利。茗一缕茶香,品味银杏风格,置身于悠然山水中,体验当地风情、感受民宿主人的热情与服务。"
poi_000016,深圳第一太平戴维斯赛嘉服务式公寓,广东省;深圳市;南山区;后海滨路,酒店|商务酒店|酒店|高档型,"位于深圳南山后海滨路,靠近主要商业区,国际学校,附近的海岸城购物中心、宝能购物中心及海上世界提供了众多餐饮选择。公寓不仅为住客提供了一个私密的居住氛围,更打造了一个兼顾自然与休闲为一体的全新的家。每套公寓均配有宽敞的阳台,满足住客所需.客房设施都是经过精心的考虑和安排,包括国际国内长途电话、厨房设备等,满足您入住需求的同时又能增添家的温馨感。公寓还为旅客提供了咖啡和茶,会议厅将热情的服务与专业的素质完美地结合在一起。此外,公寓为了方便旅客,提供接机服务(详情请咨询商家)。"
poi_000017,平顶山君悦商务酒店,河南省;平顶山市;卫东区;矿工路,酒店|商务酒店,"平顶山君悦商务酒店位于平顶山市卫东区长途汽车站(老站),紧挨长途汽车站停车场,交通四通八达,尽享地利之便。这是一家以北美田园风格为主的商务酒店,配置北美豪华套房及商务套房,大型会议室可承接各类大型商务会议。酒店设计独具匠心,复古怀情,气派非凡,融北美田园艺术化与美式文化为一体,让您远离都市的喧嚣,尽情享受安静、舒适的个人空间,配置时尚的客房,独具特色的客房,是您商务出差、自助旅游、探亲访友、同城小聚的理想场所。客房备有极速宽带、高级乳胶零压力床垫、全实木家具、美式复古的卫生间、沁园直饮水、24小时冷热水、独立空调、独立无线、液晶电视、美式电话、停车场等配套设施。酒店一直致力于为 广大客户提供一流的设备与尊贵服务。"
poi_000018,小博士幼儿园(丰安大路),河北省;唐山市;迁安市;丰安大路,教育培训|幼儿园|教育培训|学前教育,"园内环境净化、美化、儿童化浑然一体,全园有配套齐全,符合幼儿健康发展要求的活动室、午睡室、漱洗室;有培养幼儿兴趣与能力的舞蹈室、美术创意室;有功能多样的大型玩具,充满冒险的攀爬墙......先进、环保、卫生的设施设备、丰富适宜的活动空间、平等关爱的人文气氛,处处体现着以幼儿发展为本的教育理念。"
poi_000019,盛豪商务宾馆,陕西省;宝鸡市;岐山县;西宝中线,酒店|经济型|酒店|商务酒店|酒店|旅馆,"岐山盛豪商务宾馆地处蔡家坡西宝中线702南门,地理位置优越,环境优雅,价格实惠,是您商务,娱乐,休闲,度假的理想居所。"
poi_000020,犍为鑫悦居商务旅店,四川省;乐山市;犍为县;龙池街,酒店|旅馆,"犍为鑫悦居商务旅店位于犍为龙池街,周围有各种特色小吃及各中高档饭店,地理位置优越,交通非常便利。这里设有多种房型,能够满足顾客的各种需求。客房宽敞明亮,温馨典雅,每个细节都精心设计,让你在这里感受到家的温馨。旅店内设施齐全,老板热情好客,并以其温馨的环境和热情的服务,赢得了广大消费者的喜爱。"
poi_000022,老师傅汽修,山东省;潍坊市;青州市;驼山北路,汽车服务|汽车维修|汽车服务|汽车保养,"老师傅汽修厂成立于2001年5月,位于青州市驼山北路与明祖山路交叉口向北约200米路东(一汽大众对面),具有多年机动车维修、交通事故处理与理赔等专业经验,是一家集专业钣金、喷漆、轿车、电路、维修、保养、机动车保险代理、交通事故处理与理赔等多项业务于一体的综合性汽车修理厂,承接各类汽车维修保养业务。"
poi_000024,泸沽湖湖畔居精品客栈,四川省;凉山彝族自治州;盐源县;307省道,酒店|经济型|酒店|客栈|酒店|民宿,"若想要游览盐源,泸沽湖湖畔居精品客栈将会是一个不错的的住宿之选。倘若在您入住酒店期间有闲暇时间,可以去周边的情人滩游览。酒店休闲区提供了各类设施,您可以在这里舒缓身心压力。"
poi_000025,连云港盖世实业有限公司,江苏省;连云港市;海州区;珠江路,公司企业|公司,"连云港盖世实业有限公司专业从事生产汽车玻璃水,浓缩雨刷精,全能水,机头水,轮胎蜡,汽车清洗剂及日化用品等产品专业生产加工的公司,拥有完整、科学的质量管理体系。连云港盖世实业有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。"
poi_000026,深圳享家(家一样的享受)普通公寓,广东省;深圳市;南山区;科发路,酒店|民宿,"享家民宿,致力于给你一个温暖而舒适的家。 位于南山科技园高新园地铁口,生活游玩商务都非常方便,深南大道步行3分钟可达,沙河西路,北环大道,珠光南路5-8分钟。骑行15分钟到中山公园,沙河公园。距离世界之窗、欢乐谷、华侨城、深圳湾春茧体育馆、南头古城、海岸城3公里左右。另外乘车到香港全程也不到50分钟时噢。(从深圳湾口岸出入境到香港公交约8分钟)小区周边步行可达的知名企业有腾讯、联想、甲骨文、TCL、创维、IBM、中兴等等。"
poi_000027,君棠酒店(郑州火车站东广场店),河南省;郑州市;二七区;一马路,酒店|经济型,"‌本酒店是一家位于城市中心的现代化商务酒店,提供舒适、便捷的住宿体验。‌酒店地理位置优越,紧邻火车站,为商务和旅游人士提供了极大的便利。酒店拥有各类客房,每间客房均配备了高品质的床品和洗漱用品,确保客人在忙碌的旅途中能够得到充分的休息。此外,酒店还提供了各种规格的会议室,配备了先进的音响设备和投影仪,满足不同规模的会议需求,是举办商务会议的理想选择。酒店员工以“宾客至上”为服务理念,提供24小时客户服务,确保每位客人都能享受到贴心、高效的服务。无论是商务出差还是休闲旅游,本酒店都将竭尽所能,为每一位客人提供品质、舒适的住宿体验,留下美好的回忆‌。"
poi_000028,深圳市竞放电竞酒店(西丽地铁站万科云城店),广东省;深圳市;南山区;珠光路,酒店|电竞酒店|酒店|主题酒店,"欢迎来到本店——这里不仅是旅途中的休憩站,更是您专属的竞技主场!我们深谙电竞爱好者的核心需求,倾力打造超越寻常客房的专业级游戏空间,让您的每一次入住都成为一次酣畅淋漓的电竞体验。【核心电竞装备,祝您制胜先机】满配性能主机:搭载高性能CPU与显卡,轻松驾驭当下热门3A大作与主流竞技游戏,拒绝卡顿,决胜毫秒之间。职业级电竞显示器:配备144Hz或更高刷新率、低延迟的电竞屏,画面丝滑流畅,精准捕捉每一帧战场动态,助您抢占视觉先机。专业电竞键鼠耳机:精选符合人体工学设计的机械键盘、高精度鼠标及沉浸式环绕耳机,提供更高的操控手感和精准音效定位,听声辨位,掌控全局。无论是为赛事而来,还是与队友线下开黑,或是追求游戏体验的独行侠,本店都是您征服虚拟战场、尽享竞技乐趣的理想据点。入住即开赛,期待您在这里书写属于自己的超神战绩!预订您的电竞席位,开启一场不止于胜负的精彩旅程! 我们打造专业电竞空间: 高性能主机驾驭热门3A与竞技游戏; 电竞屏丝滑流畅; 专业键鼠耳机精准操控听音。 无论赛事、开黑或独行,这里都是您征服战场的理想据点!入住即开赛,书写超神战绩! 预订席位,开启精彩电竞之旅!"
poi_000029,无锡市城市环境科技有限公司,江苏省;无锡市;梁溪区;塘南一支路,公司企业|公司,"无锡市城市环境科技有限公司注册成立于2008年,隶属于无锡市市政公用产业集团有限公司,为国有企业(上司筹建中),注册资金4840万元人民币。截止2015年12月,公司总资产达8.5亿元。公司以“城市环境管理”为发展方向,经营管理国有资产及承担授权范围内环境设施建设的筹资、投资、运营管理任务,主要从事城市固体废弃物(生活垃圾、建筑垃圾、粪便、餐厨垃圾、自来水尾泥等)运输、终端处置、资源化利用;工业(危险)废物、医疗废物的安全焚烧和填埋处置;沼气发电;污水处理;环卫保洁;物业管理;环境检测;环境设施的运营维护等。"
poi_000030,青州瑞泽商务宾馆,山东省;潍坊市;青州市;,酒店|经济型|酒店|商务酒店|酒店|旅馆,"青州瑞泽商务宾馆位于火车站南,与欢乐go购物超市毗邻,交通十分便利。酒店设有各类温馨客房,并配有餐厅、休闲区和停车位,提供24小时热水淋浴、空调、电视、电话和宽带上网,让您在旅途中感受到“家”的温馨和舒适。"
poi_000031,台山川邮海景酒店(上川岛飞沙滩店),广东省;江门市;台山市;飞霞路,酒店|经济型,"台山上川岛川邮(海景)酒店是一座园林酒店,坐落于飞沙滩旅游城临海,正对沙滩入口,门前大海。环境优雅,客房宽敞明亮,设施完善,服务优质。带您遨游碧海蓝天,远离都市喧嚣。在独立海景露台,近距离嗅闻海洋的味道,仰望蓝天白云,看日出日落,欣赏海上明月,或到细软平缓的沙滩拾贝捉蟹,戏水冲浪,篝火聊欢,烟花般璀璨生活尽在川邮。酒店餐厅一流的厨艺,优惠价格是阁下品尝各种原汁原味生猛海鲜和地道风味佳肴。  酒店开业时间1998年06月,新近装修时间2018年06月,局部装修,主楼高2层,客房总数41间(套)。【温馨提示】1.酒店位于景区内,需要购买门票入内;2.酒店2层,无电梯;3.酒店可以刷卡,微信,支付宝,现金支付;4.酒店位于岛上,客人需要在17:30前抵达山咀港乘坐最后一班轮到抵达岛上。"
poi_000032,小天才幼儿园,河北省;邯郸市;肥乡区;,教育培训|幼儿园|教育培训|学前教育,"我园育人环境优美,配套设施齐全。购置了幼儿园桌面玩具与地面大型玩具,全面完成了室外活动场地的硬化。各功能室配套齐全。幼儿活动室配有电视、EVD、电子琴、空调、图书柜、水杯柜,全面服务幼儿玩乐需要;多功能活动室配备了多媒体、舞蹈器械、音美器材等保证幼儿的健康活动。"
poi_000033,枫边中学,江西省;赣州市;兴国县;464县道,教育培训|初级中学|教育培训|中学,"枫边中学位于江西省赣州市兴国县枫边乡,校长肖桂荣,主要经营负责本乡少年初中阶段的教育教学工作,注册资本未知,在职员工37名。"
poi_000034,日本suitstory西服礼服皮鞋定制(古北店),上海市;;长宁区;水城南路,购物|服装店|购物|服饰鞋包|购物|西服定制,"座落于上海古北的西服礼服定制店。本店拥有来自日本的设计师和精细的品质管理,全世界知名品牌的布料,以及客户至上的理念,衷心竭力为您提供更好的体验。"
poi_000035,世佳成才幼儿园,湖南省;娄底市;娄星区;新星南路,教育培训|幼儿园|教育培训|学前教育,"娄底市娄星区世佳成才幼儿园园区充分依照地势开辟空间,因地制宜地对活动室进行跃层、错层布局,使空间最大化合理利用。园区力争从早期阅读和儿童剧表演入手打造艺术特色,使幼儿园成为启迪幼儿园艺术才能的摇篮。"
poi_000036,大理宏彦言民宿,云南省;大理白族自治州;大理市;一塔路,酒店|旅馆|酒店|舒适型|酒店|民宿,"大理宏彦言民宿位于大理古城一塔路,距离大理古城南门150米,地理位置优越。"
poi_000037,安吉逸海·YOHO设计师360度竹海温泉美宿,浙江省;湖州市;安吉县;,酒店|高档型|酒店|别墅酒店|酒店|度假酒店|酒店|民宿,"整个民宿采用中式极简设计风,以新中式雅韵为基调,巧妙融入了高基调的佗寂元素,给人营造出一种既质感又通透的氛围。无论是大堂还是房间,都使用了大面积的落地窗,将室外的翠绿竹林引入室内,仿佛将自然的美景拥入怀中。特别值得一提的是,房间内的两面窗景令人陶醉。床前那扇落地大窗,让您直面山间竹林,仿佛置身于绿色的画卷之中;浴缸旁的方形大窗,则捕捉住了不远处的山间林海之景,让您在沐浴的同时也能尽享自然之美。民宿还配备了露台泳池、温泉以及一个静谧的山间后院草坪,让您在竹海山林间尽情享受休闲时光。茶室的设计同样充满了中式美学,旁边还设有林海泳池,让您在夏日里尽情畅游,感受清凉的乐趣。来到这里,当然也不能错过当地的乡野美味。民宿提供本地特色的农家菜,让您品尝到土鸡、安吉鲜笋等美味佳肴。近云上草原景区驾车仅需8分钟即可抵达,仙龙峡漂流仅10分钟车程可抵达。远离城市喧嚣,尽情享受这片茶山竹海里的乡野慢生活。"
poi_000038,茶园坊,上海市;;杨浦区;国权路,房产|住宅区,"地处五角场商业圈,毗邻大润发,百安居,万达商业广场·与黄兴公寓,公元3000,文化佳园构成四大顶级小区·小区环境幽静怡人· "
poi_000039,天润幼儿园,辽宁省;大连市;金州区;港盛街,教育培训|幼儿园|教育培训|学前教育,"幼儿园是一所小区配套幼儿园,园内布局合理,环境清新幽雅,幼儿活动室宽敞明亮,干净整洁。户外有塑胶操场,滑梯、跑道等中大型玩具。有美工室、音乐室、阅览室,钢琴、电脑、音响设备、投影仪、多媒体一应俱全,为幼儿的学习生活创设了良好的环境。幼儿园在投入建设硬件设施的同时,把更大的精力投入到了以教师队伍建设为核心的软件建设中来,建立并实施主班责任制、全员聘用合同制、岗位优化竞争制。同时开展集中培训、竞争上岗等一系列发现人才、培养人才、留住人才、重用人才的新机制"
poi_000040,大理凡人居客栈,云南省;大理白族自治州;大理市;,酒店|旅馆|酒店|客栈|酒店|民宿,"大理凡人居客栈位于大理镇下兑村委会11组,距离生态园200米左右,离海边约400米,相信无论您是一日游还是深度游,大理凡人居客栈都是您大理市之行的不二选择。客房内的所有设施都是经过精心的考虑和安排,空调在满足您入住需求的同时又能增添家的温馨感。服务人员会提前为您准备好瓶装水,以满足您的饮水需求。倘若您在忙碌的一天后想在自己的客房内放松,提供拖鞋、24小时热水和吹风机的客房浴室是不错的选择。在一天的忙碌后,您可以在客栈尽情的享受各种体育和休闲设施。酒店设有24小时前台咨询服务,为下榻至此的您提供贴心的行程安排。"
poi_000041,贵阳市云岩区晨虹幼儿园,贵州省;贵阳市;云岩区;春雷路,教育培训|幼儿园|教育培训|学前教育,"园内设施按幼儿园标准配备,空间设计充分考虑幼儿的年龄特点。电化教学设备、功放机、录音机、电视机、VCD、电子琴、冷暖柜机空调、全自动开水器、全套不锈钢餐具、炊具、茶桶、消毒柜等一应俱全,有充满童趣色彩的玩具角、美工角、游戏角等各类活动区域;室外大型玩具。园内树木葱郁、花草繁茂,墙饰美观,构筑成园林式的儿童园"
poi_000042,花湾公寓(广州西塱店),广东省;广州市;荔湾区;崇文五路,酒店|公寓式酒店,"花湾公寓(广州西塱店)位于中海广钢新城附近,临近广州1号线西朗站(F出口导航步行约6分到达)和广佛线鹤洞站(C出口导航步行约8分钟到达)。 广州市荔湾区广钢新城,鹤洞路以南,芳村大道以西,毗邻地铁1号线西朗站和广佛鹤洞站。3000米内六大购物广场:乐峰广场,广州沃野商业广场,花地城广场,油富城,广州沃野商业广场、中海花湾天地。择址广州荔湾区繁华地段,靠近城市交通主干道交汇处,周围学校环绕,地理位置得天独厚;周边区域集文化教育、商业配套于一体,是宜居宜业宜人之地。令您出行如风,优渥尽享。公寓内房间采光充足、方正实用、空调宽敞、大方、 使用率高、豪华配置卧室温馨舒适、家具齐全。房间内配备免费无线WIFI、柔软舒适床上用品、配有沙发冰箱和空调。入住花湾公寓,是您快乐出游和商务出行的优越之选!"
poi_000043,和颐至尚酒店(上海仁济医院东院塘桥地铁站店),上海市;;浦东新区;南泉路,酒店|高档型|酒店|商务酒店,"酒店属于首旅如家集团旗下中高端酒店品牌。酒店设计遵从都市风格、时尚体验的理念,将摩登与复古经典风格融为一体,让商旅出行者获得圆满的都市经典出行体验,实现有价值、有梦想的现代生活方式。酒店位于上海市浦东新区蓝村路518号南泉大厦(处于蓝村路和南泉路交叉路口),酒店超高速WIFI全覆盖,大堂商务区配有现磨咖啡;同时,酒店提供有营养丰富的自助早餐和自助洗衣房服务。满足宾客商务社交和出差旅游等多方面的需求。酒店地处上海浦东陆家嘴金融贸易区,近仁济医院、上海儿童医学中心。毗邻东方明珠、海洋水族馆、八佰伴购物中心、金茂大厦、环球金融中心、上海科技馆等上海地标性建筑景点,距上海新国际博览中心、世博园展馆、梅赛德斯文化中心约15分钟车程。4号线塘桥地铁站1号口出来、6号线和4号线蓝村路地铁站3号口出来步行均可10分钟内到达酒店,周边交通便利,商业设施繁华,是您商旅出行的酒店。"
poi_000044,沙家浜风景区-瞻仰广场,江苏省;苏州市;常熟市;芦苇荡路,景点|广场,"瞻仰广场占地1.33万平方米,以“郭建光”、“阿庆嫂”等形象为主创作的大型主雕屹立于广场中央,生动地揭示了军民鱼水情深的主题。象征新四军伤病员的18根柱雕以形态各异的块面造型和强烈的肌理效果对比,淋漓尽致地表现出新四军伤病员泰山压顶不弯腰的革命精神。两组锻铜浮雕以细腻、生动的构图和丰满的人物形象,演绎深化鱼水情深主题。瞻仰广场西侧是沙家浜革命历史纪念馆,建筑面积1860平方米,陈列了400多幅沙家浜革命斗争历史照片和60多件革命文物以及200多幅常熟市双拥成果照片。同时还采用了现代化多媒体景箱、场景复原、花岗岩浮雕等多种手段布展,使展览动静结合、平面立体结合、艺术和科学结合,增强了教育效果。瞻仰广场东侧是绿草茵茵的活动广场,为游客提供一个户外活动或组织活动的空间。"
poi_000045,宏村来日方长民宿,安徽省;黄山市;黟县;,酒店|舒适型|酒店|民宿,"黄山宏村来日方长民宿,位于黄山市黟县宏村镇木坑竹海景区内,是电影《卧虎藏龙》的主景拍摄地。海拔600多米 ,四周竹海环绕。春季挖笋,夏季银河星空,还有萤火虫。秋季秋色,冬季赏雪。客房配套:北美黑胡桃家具、4K宽带液晶电视、中央空调、地暖、马歇尔音响、科勒洁具、纯乳胶床垫等。民宿配有开放式厨房及土灶台,多功能厅,茶吧,天台BBQ;民宿距宏村景区约15分钟车程,距黄山黄山风景区南门约45分钟车程,距黄山高铁北、黄山国际机场均约55分钟车程"
poi_000046,韶华·芸舍,四川省;眉山市;东坡区;子瞻大道,酒店,"韶华·芸舍坐落在文韵昌盛、美誉为“大宋不夜城”的眉山东坡印象水街。酒店毗邻两千余亩的东坡城市湿地公园。设计打破空间与时间的界限,从喧嚣到安宁只需要一道门的距离,以清、秀、丰、隽之姿描绘出尘灵境,成为可行、可望、可居、可游之所。 酒店面积约700平方米,共有1个多功能接待区、11间客房,及1个休闲茶室,房间格局大气通透,结合“东坡文化”、“长寿文化”等元素打造出不一样地入住体验,为生活在现代都市的人们创造了一个休憩养心的安逸之地。"
poi_000047,华季酒店(信宜窦州里文化创意街店),广东省;茂名市;信宜市;新里三路,酒店|经济型,"华季酒店(窦州里店)拥有温馨客房,房间装修温馨简约,设施齐全,含自助早餐,卫生间三区分离,冷暖空调,24小时不间断热水,独立WiFi,配备洗衣房,经过一座城,我们将以热情的服务,期待您的到来。"
poi_000048,大理海云轩海景度假别墅(大理洱海店),云南省;大理白族自治州;大理市;,酒店|别墅酒店,"酒店位于环海东路大理洱海传奇别墅B13-01,小区环境美丽清幽,绿树成阴,面朝洱海,客房以工业风为主,每个房间都配备了TOTO全智能马桶,科勒卫浴,床上用品全部是100%60只优质纯棉贡缎,亲近肌肤,助您好睡眠,卫生间采用干湿分离,酒店多数房间可以远看苍山近观洱海,傍晚,沏一壶好茶,坐在房间,欣赏美丽的洱海,看云卷云舒,两情若是长久时,岂又在朝朝暮暮,酒店一楼有花园烧烤区,棋牌室,和茶艺区,几个好友,一起烧烤品茶,放下所有的烦心事,生活还有诗和远方,顶楼有网红拍照天空之镜、玻璃球、白桌子,日落时分,搭配上苍山洱海的丁达尔光影,让您拍出唯美的照片。贴心的管家服务,让您度过一个每一个愉快的假期,周边有市区,机场,圣托里尼,洱海公园,大理港游船码头。交通极为便利,酒店是您旅游、休闲度假的上佳之选。"
